imdb_id,tmbd_id,title,mpa,genre,runtime,release_date,producion_company,revenue,budget,vote_average,vote_count,popularity,director,director_gender
tt0101026,2469,¡Átame!,NC-17,Comedy,102,1990-01-22,El Deseo,3125224,NA,6.9,574,17.081,Pedro Almodóvar,Male
tt0100196,33796,Mountains of the Moon,R,Adventure,136,1990-02-16,TriStar Pictures,4011793,NA,6.404,68,11.936,Bob Rafelson,Male
tt0100604,24731,Short Time,PG-13,Action,97,1990-05-04,20th Century Fox,4010647,NA,6.4,48,5.828,Gregg Champion,Male
tt0100911,31923,"Welcome Home, Roxy Carmichael",PG-13,Comedy,95,1990-10-12,Paramount,3989297,NA,6.2,94,7.886,Jim Abrahams,Male
tt0100003,123771,The Lemon Sisters,PG-13,Comedy,93,1989-12-01,Miramax,3473905,NA,4.7,6,1.4,Joyce Chopra,Female
tt0100602,20876,A Shock to the System,R,Crime,91,1990-03-23,Brigand Films,3417056,NA,6.414,110,8.896,Jan Egleson,Male
tt0100142,15389,Metropolitan,PG-13,Comedy,99,1990-08-03,Westerly Films,2900000,225000,6.846,136,8.365,Whit Stillman,Male
tt0099409,31676,Desperate Hours,R,Mystery,105,1990-10-05,Metro-Goldwyn-Mayer,2742912,18000000,5.457,175,11.431,Michael Cimino,Male
tt0096945,19124,Blind Fury,R,Action,86,1989-08-17,Interscope Communications,2700000,20000000,6.542,417,18.976,Phillip Noyce,Male
tt0098994,25501,"After Dark, My Sweet",R,Crime,114,1990-08-24,Avenue Pictures,2678414,NA,5.6,68,9.255,James Foley,Male
tt0099939,9558,King of New York,R,Thriller,103,1990-07-18,Reteitalia,2554712,NA,6.7,590,18.205,Abel Ferrara,Male
tt0099832,37131,Impulse,R,Thriller,109,1990-04-06,Warner Bros. Pictures,2544504,9000000,5.503,33,5.387,Sondra Locke,Female
tt0099277,23535,Class of 1999,R,Science Fiction,99,1990-04-01,Lightning Pictures,2459895,5200000,5.998,206,11.414,Mark L. Lester,Male
tt0099164,90044,Body Chemistry,R,Thriller,84,1990-03-09,Concorde-New Horizons,2415312,NA,4.7,7,4.261,Kristine Peterson,Female
tt0099460,60778,Downtown,R,Action,96,1990-01-12,20th Century Fox,2346150,NA,5.649,37,2.713,Richard Benjamin,Male
tt0100928,28761,"White Hunter, Black Heart",PG,Adventure,112,1990-05-16,Warner Bros. Pictures,2300000,24000000,6.33,247,11.986,Clint Eastwood,Male
tt0100557,4339,Das schreckliche Mädchen,PG-13,Comedy,92,1990-02-15,Filmverlag der Autoren,2281569,NA,6.532,31,4.739,Michael Verhoeven,Male
tt0103069,82545,Texasville,R,Drama,123,1990-09-28,Nelson Entertainment,2268254,NA,5.988,42,5.45,Peter Bogdanovich,Male
tt0100873,55309,Vincent & Theo,PG-13,Drama,138,1990-12-02,Hemdale Film Corporation,2231274,NA,6.472,54,4.405,Robert Altman,Male
tt0099395,71853,Def by Temptation,R,Horror,95,1990-03-23,Bonded Filmworks,2218579,NA,4.92,44,7.11,James Bond III,Male
tt0099480,41811,Eating,R,Comedy,110,1990-11-30,Jagfilm,2100538,NA,1.5,2,1.2,Henry Jaglom,Male
tt0100594,24016,The Sheltering Sky,R,Drama,138,1990-10-25,Recorded Picture Company,2075084,25000000,6.565,240,9.762,Bernardo Bertolucci,Male
tt0099951,21344,The Krays,R,Drama,115,1990-04-27,Fugitive Features,2060847,NA,6.057,96,6.881,Peter Medak,Male
